product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,sku_rows,category_count,categories
Ceres Foods Nalli Nihari Instant Liquid Masala,220.0,110.0,50,6,200,False,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies"
Ching's Chicken Chilli Masala,10.0,10.0,0,6,20,False,3,3,"Cooking Essentials, Meats, Fish & Eggs, Munchies"
Ching's Instant Hot and Sour Soup,55.0,55.0,0,5,55,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Red Chilli Sauce,55.0,55.0,0,6,200,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret  Noodles - Pad Thai Lemongras,200.0,200.0,0,5,130,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret  Pad Thai Noodles Green Curry,200.0,200.0,0,6,130,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Asian Hot Instant Soup,15.0,15.0,0,3,15,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Chilli Vinegar,50.0,50.0,0,4,170,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Chowmein Hakka Noodles Masala,60.0,54.0,10,2,100,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Green Chilli Sauce,85.0,81.0,4,1,680,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Green Chilli Sauce,105.0,105.0,0,6,425,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Hot Garlic Instant Noodles,114.0,114.0,0,6,480,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Just Soak - Veg Hakka Noodles,30.0,30.0,0,5,150,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Just Soak - Veg Hakka Noodles,115.0,115.0,0,6,600,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodle,32.0,32.0,0,3,150,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodles,123.0,123.0,0,6,600,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Lemon Coriander Instant Soup,15.0,15.0,0,5,15,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Manchow Instant Soup,10.0,10.0,0,1,15,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Manchow Noodles Instant Soup,15.0,15.0,0,6,20,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Manchow Soup,55.0,55.0,0,3,55,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Manchurian Instant Noodle,114.0,114.0,0,6,480,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Manchurian Noodles,91.0,91.0,0,5,360,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
