priority_rank,sku_id,category,product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,stockout_rate_pct,available_inventory_value_rupees,priority_score
164,2181,Munchies,"Aashirvaad Iodised Salt",22.0,19.0,13,0,1000,1,12.45,0.0,55
165,107,Beverages,"The Bake Shop Burger Buns",20.0,20.0,0,0,100,1,21.71,0.0,55
166,146,Biscuits,"Britannia Good Day Cashew Cookies",20.0,20.0,0,0,100,1,28.57,0.0,55
167,1285,"Dairy, Bread & Batter","The Bake Shop Burger Buns",20.0,20.0,0,0,100,1,21.71,0.0,55
168,132,Biscuits,"Bauli Moonfils - Vanilla",15.0,15.0,0,0,45,1,28.57,0.0,55
169,133,Biscuits,"Bauli Moonfils Choco Cream (With Egg)",15.0,15.0,0,0,45,1,28.57,0.0,55
170,135,Biscuits,"Bauli Moonfils Orange Puff Roll",15.0,15.0,0,0,45,1,28.57,0.0,55
171,138,Biscuits,"Britannia 50-50 Maska Chaska Biscuit",10.0,10.0,0,0,46,1,28.57,0.0,55
172,175,Biscuits,"Britannia Roll Yo! Choco Swiss Roll (With Egg)",10.0,10.0,0,0,28,1,28.57,0.0,55
173,176,Biscuits,"Britannia Roll Yo! Strawberry Swiss Roll",10.0,10.0,0,0,28,1,28.57,0.0,55
174,206,Biscuits,"Good Day Butter Cookies",10.0,10.0,0,0,75,1,28.57,0.0,55
175,246,Biscuits,"Sunfeast Mom's Magic Cashew & Almond Biscuit",10.0,10.0,0,0,60,1,28.57,0.0,55
176,2099,"Meats, Fish & Eggs","Fresh Mutton Mince - Kheema (Halal)",515.0,495.0,3,1,500,0,19.05,495.0,50
